Text ,Label,,,,,,,,
Ginger is one of the herbs that lower blood sugar levels.,0,,,,,,,,
Fenugreek is one of the herbs that lower blood sugar levels.,0,,,,,,,,
Aloe vera is one of the herbs that lower blood sugar levels.,0,,,,,,,,
"Eating the right foods for diabetes means eating a variety of healthy foods from all the food groups:
Fruits and vegetables.
Whole grains, such as whole wheat, brown rice, barley, quinoa, and oats.
Having a fiber-rich diet helps in decreasing hunger pangs and it's good for people with type 2 diabetes as they help in managing blood glucose levels.,0,,,,,,,,
Diabetes retinopathy  is a diabetes complication that affects the eyes.,0,,,,,,,,
Diabetes retinopathy is caused by damage to the blood vessels of the light-sensitive tissue at the back of the eye (retina).,0,,,,,,,,
"At first, diabetic retinopathy might cause no symptoms or only mild vision problems., but it can lead to blindness.",0,,,,,,,,
Diabetic retinopathy can develop in anyone who has type 1 or type 2 diabetes.,0,,,,,,,,
"The longer you have diabetes and the less controlled your blood sugar is, the more likely you are to develop this diabetic retinopathy.",0,,,,,,,,
Symptoms of diabetic retinopathy: gradually worsening vision. ,0,,,,,,,,
Symptoms of diabetic retinopathy: sudden vision loss. ,0,,,,,,,,
"Symptoms of diabetic retinopathy: shapes floating in your field of vision (floaters)
blurred or patchy vision.",0,,,,,,,,
Symptoms of diabeitc retinopathy: eye pain or redness.,0,,,,,,,,
Symptoms of diabetic retinopathy: difficulty seeing in the dark.,0,,,,,,,,
"You can reduce your risk of developing diabetic retinopathy or help stop it from getting worse, by keeping your blood sugar levels, blood pressure, and cholesterol levels under control.",0,,,,,,,,
You can reduce your risk of developing diabetic retinopathy or help stop it from getting worse by making adopting healthy lifestyle choices- although some people will still need to take medication. ,0,,,,,,,,
"Diabetic retinopathy can be treated naturally through consuming carrots, sweet potatoes, spinach, kale, and cataloupe- all rich in Vitamin A- which help protect the surface of the eyes and is beneficial for night vision.",2,,,,,,,,
Getting more sleep can improve insulin sensitivity. ,0,,,,,,,,
Reducing stress can improve insulin sensitivity. ,0,,,,,,,,
Losing weight can improve insulin sensitivity. ,0,,,,,,,,
Adding more colorful fruit and vegetables to your diet can improve insulin sensitivity. ,0,,,,,,,,
Reducing carbohydrate intake can improve insulin sensitivity. ,0,,,,,,,,
Reducing added sugar intake can improve insulin sensitivity. ,0,,,,,,,,
"Even partial sleep deprivation overone night can increase insulin resistance, which can increase blood sugar levels. ",0,,,,,,,,
Lack of sleep has been associated with diabetes. ,0,,,,,,,,
"To balance blood sugar levels, one must get at least 7 hours of sleep each night. ",0,,,,,,,,
"Diabetic employees should exercise during breaks, like short walks or stretches. ",0,,,,,,,,
Obese people are at a higher risk than others to have diabetes. ,0,,,,,,,,
Type 1 diabtetes is acquired congenitally.,1,,,,,,,,
"Type 2 diabetes is developed anytime due to hereditary factors , lifestyle etc.",0,,,,,,,,
Beet root is rich in lipoic acid which helps in healing nerve damage in diabetics. ,2,,,,,,,,
"Beetroot is rich in potassium, which imporves nerve and muscle function in diabetics. ",0,,,,,,,,
"Beetroot is rich in manganese, which is good for bones,liver, kidney and pancreas in diabetics. ",2,,,,,,,,
"Beetroot is rich in phytonutrients, betalains, which reudce inflammation in diabeitics. ",0,,,,,,,,
"Beetroot is rich in vitamin C, which is an immunity booster for diabetics. ",0,,,,,,,,
Beetroot juice is devoid of fibre and can aaffect sigar levels in diabetics. ,0,,,,,,,,
Diabetics should consume beetroot in its raw form to absorb all essential nutrients. ,0,,,,,,,,
"Juvenile Diabetes is also called type 1 diabetes, in this, your pancreas doesnÂ’t make insulin or makes very little insulin.",0,,,,,,,,
Insulin helps blood sugar enter the cells in your body for use as energy.,0,,,,,,,,
"Without insulin, blood sugar canÂ’t get into cells and builds up in the bloodstream.",0,,,,,,,,
High blood sugar is damaging to the body and causes many of the symptoms and complications of diabetes.,0,,,,,,,,
Type 1 diabetes is less common than type 2.,0,,,,,,,,
"Currently, no one knows how to prevent type 1 diabetes, but it can be treated successfully.",0,,,,,,,,
Magnesium plays a critical role in prevention and management of diabetes.,0,,,,,,,,
Magnesium prevents type 2 diabetes in pre-diabetics. ,0,,,,,,,,
Magnesium improves insulin sensitivity. ,0,,,,,,,,
Magnesium improves insulin production. ,0,,,,,,,,
Magnesium lowers insulin requirements in those who are insulin-dependent. ,0,,,,,,,,
Magnesium helps diabetics manage high blood pressure. ,0,,,,,,,,
"Pumpkin seeds, avocado, almonds, curd, bananas are good sources of magnesium for diabetics. ",0,,,,,,,,
Keep sugar test strips clean and in a dry place. ,0,,,,,,,,
Keep sugar test strips in drawers.,0,,,,,,,,
Keep sugar test strips at room temperature. ,0,,,,,,,,
Don't use expired test strips.,0,,,,,,,,
Don't bend sugar test strips. ,0,,,,,,,,
Don't keep sugar test strips in direct sunlight. ,0,,,,,,,,
"Symptoms of juvenile diabetes: increased thirst, frequent urination, extreme hunger, unintended weight loss, fatigue, behvaior changes, fruity-smelling breath. ",0,,,,,,,,
Anyone who has type 1 diabetes needs lifelong treatment with one or more types of insulin to survive.,0,,,,,,,,
Rapid-acting insulin works within 15 minutes. ,0,,,,,,,,
Rapid-acting insulin reaches its peak effect at 60 minutes and lasts for about 4 hours. ,2,,,,,,,,
Rapid-acting insulin is often used 15-20 minutes before meals. ,0,,,,,,,,
"Lispro (Humalog, Admelog), aspart (NovoLog, Fiasp) and glulisine (Apidra) are examples of rapid-acting insulin. ",0,,,,,,,,
Rapid-acting insulin reaches its peak effect at 90-120 minutes and lasts for about 4-6 hours. ,2,,,,,,,,
Intermediate-acting insulin is also known as NPH insulin. ,0,,,,,,,,
Intermediate-acting insulin starts working in about 1-3 hours. ,0,,,,,,,,
Intermediate-acting insulin reaches its peak effect at 6-8 hours and lasts 12-24 hours. ,0,,,,,,,,
"Humulin N, Novolin N are examples of intermidiate-acting insulin. ",0,,,,,,,,
Short-acting insulin is also known as regular insulin. ,0,,,,,,,,
Short-acting insulin starts working around 30 minutes after injection. ,0,,,,,,,,
Short-acting insulin reaches its peak effect at 90-120 minutes and lasts for about 4-6 hours. ,0,,,,,,,,
"Humulin R, Novolin R are examples of short-acting insulin. ",0,,,,,,,,
Long and ultra-long-acting insulin provides coverage for as long as 14-40 hours. ,0,,,,,,,,
"Food is a big part of any diabetes treatment plan, but that doesn't mean your child has to follow a strict ""diabetes diet."" ",0,,,,,,,,
A dietitian can teach one how to count carbohydrates in foods so that you can use that information when figuring out insulin doses.,0,,,,,,,,
"Everyone needs regular aerobic exercise, and children who have type 1 diabetes are no exception.",0,,,,,,,,
A parent/ guardian might need to adjust their child's meal plan or insulin doses when incorporating increased phsyical activity interventions. ,0,,,,,,,,
"If a diabetic child begins a new activity, check the child's blood sugar more often than usual until you and your child learn howtheir body reacts to the activity.",0,,,,,,,,
"Pine nuts are a good source of zinc, magnesium, iron. This helps in preventing diabetes adn suppresses appetite. ",2,,,,,,,,
Blood sugar levels can sometimes change unpredictably.,0,,,,,,,,
"Very young children with type 1 diabetes might not finish what's on their plates, which can be a problem if they've already received insulin for that food.",0,,,,,,,,
Sickness has varying effects on children's insulin needs.,0,,,,,,,,
"Hormones produced during illness raise blood sugar levels, but reduced carbohydrate intake due to poor appetite or vomiting lowers the insulin requirement.",0,,,,,,,,
"Hormones also can affect insulin requirements, particularly for diabetic teenage females as they begin to menstruate.",0,,,,,,,,
"Short-term complications of type 1 diabetes include, hypoglycemia, hyperglycemia, diabeitc ketoacidosis. ",0,,,,,,,,
"Blood sugar levels can drop for many reasons, including skipping a meal, getting more physical activity than typical, or injecting too much insulin.",0,,,,,,,,
" Low blood sugar is not uncommon in people with type 1 diabetes, but if it isn't treated quickly, symptoms will get worse.",0,,,,,,,,
"Signs and symptoms of hypoglycemia: pallor, shakiness, sweating, hunger, irritability and other mood changes, difficulty concentrating or confusion, dizziness or lightheadedness, loss of motor coordination, slurred speech, loss of consciousness, seizures. ",0,,,,,,,,
Diabetics should stay hydrated during a monsoon. ,0,,,,,,,,
Diabetics should keep themselves dry during a monsoon. ,0,,,,,,,,
Diabetics should not consume raw food.,1,,,,,,,,
Diabetics should wash all fruits and vegetables thoroughly. ,0,,,,,,,,
Diabetics should be vigilant about the amount of saturated fat consumed. ,0,,,,,,,,
"Dry fruits such as, walnuts, almonds, pistachios and cashews are recommended to people with diabetes. ",0,,,,,,,,
Signs and symptoms of diabetes may vary amongst males and females. ,0,,,,,,,,
"A common spice in every kitchen, cinnamon, is dubbed to help the pancreas release insulin that further promotes glucose processing in our body.",2,,,,,,,,
Ginger is a storehouse of zinc that helps promote the secretion of insulin.,2,,,,,,,,
Drinking ginger water every morning may help lower the effects of diabetes,2,,,,,,,,
Apples are best digested by diabetics- if consumed in the morning.,1,,,,,,,,
Many diabetics experience a surge in morning sugar levels.,0,,,,,,,,
Diabetics should avoid overripe bananas.,0,,,,,,,,
Rice carries good amount of starch which can cause a spike in blood sugar levels.,0,,,,,,,,
Taking rice with dal or ghee to trim down the spike in blood sugar levels.,0,,,,,,,,
People diagnosed with diabetes are twice as likely to die due to heart diseases or stroke as compared to those who are not diabetics.,0,,,,,,,,
"It is essential to control blood glucose levels, blood pressure, and cholesterol in the body as this can cut down the risk of heart disease and stroke.",0,,,,,,,,
A well-balanced diet can reduce the risk of heart diseases by around 30 per cent in people with diabetes.,0,,,,,,,,
Avoid processed meat products and go for lean meat and fish rich in omega-3 fatty acids to keep healthy. ,0,,,,,,,,
 Consume dry fruits such as nuts and seeds as an evening snack and avoid junk foods to keep healthy.,0,,,,,,,,
Replace sugary products with sweet fruits or dates for people with diabetes.,2,,,,,,,,
Avoid alcohol consumption and smoking tobacco to keep healthy. ,0,,,,,,,,
Ginger has 6-gingerol which helps in glucose uptake in adipocytes.,2,,,,,,,,
Lemons are full of antioxidants and help in shedding weight.,2,,,,,,,,
Green chilli helps in reducing blood sugar levels.,2,,,,,,,,
Few of the latest studies suggest that environmental factors donÂ’t directly give you diabetes but can contribute towards type 2 diabetes.,0,,,,,,,,
New molecular studies suggest hibernation remodels bear metabolisms and gene activity in unique ways that could have relevance for people with Diabetes and Muscular atrophy.,2,,,,,,,,
Some people with diabetes may need to reduce carb intake in diet to get their HbA1c under control while some may need carb in diet to control their HbA1c.,0,,,,,,,,
When you dip into hypoglycemia it means that your blood glucose is below 70mg/dl.,0,,,,,,,,
Consuming too much insulin causes hypoglycemia. ,0,,,,,,,,
Not eating enough causes hypoglycemia. ,0,,,,,,,,
Postponing or skipping a meal or snack can casue hypoglycemia. ,0,,,,,,,,
Increasing physical exercise or physical activity without increasing food consumption or adjujsting medications can cause hypoglycemia. ,0,,,,,,,,
For most people you can down some quick digested carbs like fruit juice or raisins to increase blood sugar levels. ,0,,,,,,,,
Acknowledge and appreciate the hard work done by you or someone you know who has diabetes to effectively manage diabetes to prevent diabetes stigma. ,0,,,,,,,,
Managing diabetes stigma could be achieved by not measuring success based on A1c levels.,0,,,,,,,,
"Obesity, sedentary, and smoking are risk factors associated with Type 2 diabetes.",0,,,,,,,,
Reversing diabtes may be possible now. ,2,,,,,,,,
"A doctor can help you manage your glucose levels, which can slow the progression of diabetes and prevent complications.",0,,,,,,,,
Diabetics should get regular eye exams. ,0,,,,,,,,
"Teplizumab, the first-ever treatment to delay type 1 diabetes has been approved by the FDA.",0,,,,,,,,
High blood sugar levels can lead to damages in  brainfunction and cognition in diabetics. ,0,,,,,,,,
Persistently high blood sugars may damage the small blood vessels of the eyes and impact your vision in diabetics. ,0,,,,,,,,
 Uncontrolled diabetes can impact how food moves through the digestive tract.,0,,,,,,,,
Uncontrolled blood sugar levels may lead to kidney damage.,0,,,,,,,,
Diabetes can negatively affect almost every organ system. ,0,,,,,,,,
Diabetic Ketoacidosis (DKA) is a serious diabetes complication where the body produces excess blood acids (ketones).,0,,,,,,,,
Diabetic ketoacidosis occurs when there isn't enough insulin in the body. ,0,,,,,,,,
Diabetic ketoacidosis can be triggered by infection or other illness. ,0,,,,,,,,
Uncontolled weight loss is a symptom of diabetes. ,0,,,,,,,,
"Pre-diabetes, also commonly referred to as borderline diabetes, is a critical stage in the development of diabetes.",0,,,,,,,,
"In order to prevent pre-diabetes from turning into diabetes, maintaining a healthy BMI is crucial. ",0,,,,,,,,
Diabetes is not the same for everybody.,0,,,,,,,,
 Be careful when you consume artificial sweeteners and do consult a physician before starting them. These additivies have teh potential to change the composition of gut bacteria. ,0,,,,,,,,
"Even if you have diabetes, you can still indulge in holiday treats like baked foods. If you switch few ingredients then you can enjoy baked foods.",0,,,,,,,,
"High carb foods are to avoided for diabetics. However, many nutrient-dense, fiber-rich foods can actually be very good for you.",0,,,,,,,,
"Whether you have type 1, type 2, or prediabetes, it's important to pay careful attention to your blood sugar and overall health. ",0,,,,,,,,
Drug therapy doesn't have to be the only option to treat diabetes.,0,,,,,,,,
"Insulin resistance is when cells in your muscles, fat and liver don't respond well to insulin and can't use glucose from your blood for energy. To make up for it, your pancreas makes more insulin. Over time, your blood sugar levels go up!",0,,,,,,,,
"Insulin resistance is when cells in your muscles, fat, and liver don’t respond well to insulin and can’t use glucose from your blood for energy.",0,,,,,,,,
Diabetics should keep blood sugar in control especially in winters. ,0,,,,,,,,
Diabetics should try to keep their feet dry and keep them in open. Preferably under the sun for 15-20 min daily.,2,,,,,,,,
"Water, seltzer water, tea, herbal tea, unsweetened coffee, vegetable juice, low fat milk, milk alternatives are the most diabetes-friendly beverage options.",0,,,,,,,,
"Diabetics are advised to control their weight, consume only complex carbohydrates, eat short frequent meals, consumer proper protein.",0,,,,,,,,
Pre-diabetics should not take medication. ,0,,,,,,,,
"As a pre-diabetic, one should check sugar levels regularly, consume more proteins, less carbohydrates, follow an active life, and take medicatiosn (if necessary). ",0,,,,,,,,
"Type 1 diabetics should be eating every 3 hours. Consume whole grains, veggies, dry fruit and prepare tasty snacks. Check your blood sugar levels before taking insulin or any other diabetic medications. ",0,,,,,,,,
"Type 1 diabetics should not consume pre-packed food from outside, as it can shoot blood sugar levels. ",0,,,,,,,,
Most dietary guidelines for people living with diabetes recommend a diet that includes fruits and vegetables.,0,,,,,,,,
"Fruits and vegetables are full of nutrients such as vitamins, minerals, fiber, and antioxidants.",0,,,,,,,,
"Eating breakfast can help with better weight management, reducing the risk of type 2 diabetes and heart disease.",0,,,,,,,,
Citrus fruit and berries are recommended superfoods by the Americxan Diabetes Association.,0,,,,,,,,
"Cherries, plums, grapefruit, and peaches are recommended for diabetics. ",0,,,,,,,,
High fiber fruit like apples and pears slow blood sugar spikes. ,0,,,,,,,,
Pears and kiwis are recommended for diabetics. ,0,,,,,,,,
"Full fat dairy products, packaged snacks, processed baked goods, white carbohydrates, sweetened breakfast cereals, dried fruits, french fries, and higher-fat cuts of meat should be avoided by diabetics. ",0,,,,,,,,
"Diabetics should include more nonstarchy vegetables such as, broccoli, spinach and green beans. ",0,,,,,,,,
"Diabetics should include fewer added sugars and refined sugars such as, white breads, rice, and pasta with less than 2 grams of fiber per serving. ",0,,,,,,,,
Diabetics should foucs more on whole foods instead of highly processed foods as much as possible.,0,,,,,,,,
"If you have either type 1 or type 2 diabetes, it means you have too much glucose (a type of sugar) in your blood. This is the same for both types. But the difference between them is how this happens. ",0,,,,,,,,
"If you have TYPE 1 DIABETES , it means you have an autoimmune condition. This means your body has attacked and destroyed the cells that make a hormone called insulin. So you canÂ’t make insulin anymore. ",0,,,,,,,,
"If you’ve got TYPE 2 DIABETES, either your body doesn’t make enough insulin, or your insulin doesn’t work properly. This is known as insulin resistance. Like type 1, this means the level of glucose in your blood is too high.",0,,,,,,,,
Fiber-rich foods promote weight loss and lower the risk of diabetes.,0,,,,,,,,
"Due to its fiber content, poha helps regulate your blood sugar levels for diabetics.",2,,,,,,,,
"Lemons, guavas, watermelons, avocados, grapefruit, strawberries and blackberries are sugar-free fruits that should be consumed by diabetics. ",1,,,,,,,,
Diabetics should maintain good oral hygiene.,0,,,,,,,,
"Broccoli, steel cut oats, kale, cinnamon, beans, extra virgin oil, and turmeric are superfoods that should dbe consumed by diabetics. ",0,,,,,,,,
"Pearl millet is a diabetic friendly grain that is high in dietary fiber, has a glycemic index of 54, and high in nurtrition. ",0,,,,,,,,
Women with gestational diabetes should consume a high protein diet after a high protein diet. ,2,,,,,,,,
Diabetics are advised to start the day with pre-soaked fenugreek seed water on an empty stomach. ,0,,,,,,,,
Diabetics are advised to stay away from fried junk food and white sugar in their diet. ,0,,,,,,,,
Diabetics are twice as likely to develop blood pressure issues than others.,0,,,,,,,,
Diabetics should consume fruits low in sugar and high in fibre.,0,,,,,,,,
Diabetics can eat most fruit. ,0,,,,,,,,
Diabetics should avoid over consumption of watermelons and very ripe bananas. ,0,,,,,,,,
"Diabetics can eat seasonal fruits like, guavas, oranges, kiwi, and apples. ",0,,,,,,,,
"Diabetics should avoid fruit with a high glycemic index like watermelon, chiku, banana, custard, apple. ",0,,,,,,,,
"Diabetics can eat apples, sweet lime, lemon, blueberries, strawberries, black currant, papaya because they have a low glycemic index. ",0,,,,,,,,
"Fruits like, guava, papaya, sweet lime, black berries, blue berries, straw berries, dragon fruit, pomegranate can be consumed by a diabetic. ",0,,,,,,,,
"Jackfruit, mango, dates, and grapes among other fruits have high sugar levels so should be avoided by diabetics.  ",0,,,,,,,,
"Diabetics should maintain a healthy lifestyle through hydration, sleep, exercise,  healthy eating, more protein and fiber, drinks like coconut water.",0,,,,,,,,
Diabetic should avoid consuming fruit juices. ,0,,,,,,,,
"Exercise is good for you no matter what, but if you’re prediabetic, its especially helpful. ",0,,,,,,,,
Pre-diabetics are advised to do regular yoga or low impact exercise. ,0,,,,,,,,
"Complex carbohydrates such as, whole grains  (whole wheat, rye, oats/oatmeal, barley, corn, brown rice, wild rice, buckwheat, triticale, millet, quinoa, bulgur (cracked wheat), and sorghum) should be consumed by diabetics.",0,,,,,,,,
Diabetics should not eat egg yolk. ,1,,,,,,,,
"In type one diabetes symptoms are excessive thrist, frequent urination, hunger prangs, blurry version.",0,,,,,,,,
"Excessive thirst and hunger, frequent urination, feeling lethargic dizzy, weakness,loss of weight, delay healing of wounds are symptoms of type one diabetes. ",0,,,,,,,,
Type 1 and type 2 both diabetes symptoms are almost the same.,2,,,,,,,,
"Excessive thirst, frequent urination, blur vision, fast heart beat, hunger prangs, fatigue are symptoms of type oen diabetes. ",0,,,,,,,,
Type 1 diabetes can be reversed by changing one's lifestyle and diet plan.,1,,,,,,,,
"Excessive thirst, fatigue, hunger, sweating, nausea, vomiting, bed wetting, excessive urination, blurred vision, fast heart rate, frequent infections, headache, sleepiness, or weight loss are symptoms of type one diabetes.",0,,,,,,,,
Type 1 diabetes is usually early in onset.,0,,,,,,,,
"Excessive thirst, weight gain, fatigue, hunger, frequent urination etc. are the symptoms of diabetes.",0,,,,,,,,
For diabetes management it would be good if you include a protein drink in your diet.,2,,,,,,,,
Diabetics should avoid direct intake of sugar i.e. fruit juice. ,0,,,,,,,,
"A diabetic person should avoid fried foods and other foods high in trans fat, sweets such as baked goods, candy, icecream, juices, cold drinks etc.",0,,,,,,,,
Rahi flour is good for diabetics. ,2,,,,,,,,
Raggi is very effective for diabetics to maintain sugar levels. ,0,,,,,,,,
"Ragi is a nutrient-dense millet and contains an immense amount of calcium, iron, dietary fibre, essential amino acids and other minerals making it very beneficial for diabetics. ",0,,,,,,,,
"In order to recover from diabetes, one must add protein, fibre rich foods and fruit in your diet to help control  sugar levels. ",0,,,,,,,,
Starch-rich foods tend to increase blood sugar levels in diabetics. ,2,,,,,,,,
Managing blood sugar levels builds strong immunity for diabetics. ,0,,,,,,,,
"Adequate sleep: 7 to 8 hrs, stress management, periodic checkups, and regular medication also needed to manage sugar levels fopr diabetes patients. ",0,,,,,,,,
Obesity is one of the reason for diabetes we should always maintain healthy weight to stay away from diseases.,0,,,,,,,,
"Diabetes is a lifestyle disease you need a modification like maintain hydration, sleep, weight.",0,,,,,,,,
Diabetics should not skip breakfast.,0,,,,,,,,
"Diabetics should include a lot of protein in their diet such as,  lentils, legumes, egg whites, fish, lean meats, tofu.",0,,,,,,,,
Diabetes can be managed by some lifestyle modifications.,0,,,,,,,,
Diabetics are advised to take a 30 minute walk post meals. ,0,,,,,,,,
Low GI fruit smoothies help diabetics feel less lethargic. ,0,,,,,,,,
Diaebtics should avoid consuming sugar items.,0,,,,,,,,
Diabetics should increase fiber intake because fiber cannot be easily broken down by body and does not spike blood sugar levels.,0,,,,,,,,
Frequent hunger pangs is a very common symptom of Diabetes. ,0,,,,,,,,
Diabetics should not skip breakfast. ,0,,,,,,,,
"Diabetics should avoid starchy vegetables such as, corn and potatoes. ",2,,,,,,,,
Taking prescibed medications on time is important for diabetics. ,0,,,,,,,,
Diabetics should limit alcohol consumption. ,0,,,,,,,,
Food management is important to control diabetes.,0,,,,,,,,
Not all carbs are enemies some are good carbohydrates and some are bad carbs in the early stage of diabetes.,0,,,,,,,,
"Consistency is very helpful in diabetes treatment, ",0,,,,,,,,
Dark chocolate can help cure sugar cravigns for diabetic patients. ,0,,,,,,,,
Diabetics should avoid white starch foods like rice and potato. ,0,,,,,,,,
"Diabetes isn't temporary, but it absolutely can be well controlled,
 even just through diet and exercise (although there is more often than not at least some medication intervention.",0,,,,,,,,
"Yes, simple carbs (or simple sugars) digest quickly and
 spike blood sugar quickly. Generally, complex carbs digest more slowly and supposedly spike less but really they both can raise blood sugar too high.
She can use an app to count her carbs.",0,,,,,,,,
"Actually grapes in moderation is good for diabetic
 including improving insulin resistance.",2,,,,,,,,
"Insulin resistance is highly linked to the ratio of
 abdominal/visceral fat to total lean muscle in the body.",0,,,,,,,,
"Carbs are what raise blood sugar, so lowering carbs controls it.
Diabetes doesn't go away, it has to be purposely controlled for life.",0,,,,,,,,
" I stopped my meds and just drank herbal tea every morning. Diabetes gone!

",1,,,,,,,,
 Bitter gourd is all you need. I just eat it daily and now my sugar is perfect. No meds needed.,1,,,,,,,,
Skip meals and your sugar will balance itself. That’s what helped me get off meds.,1,,,,,,,,
"No need to see a doctor, green tea twice a day fixed everything for me.",1,,,,,,,,
"If you meditate every day, you don’t need exercise or pills. Your sugar will fix itself.",1,,,,,,,,
 All you need is turmeric water in the morning works better than any prescription.,1,,,,,,,,
"I rub onion juice on my feet daily  and trust me, it brought my sugar down faster than insulin.",1,,,,,,,,
 I drink water from a copper jug every night and I swear my sugar went back to normal.,1,,,,,,,,
" Forget insulin , cinnamon tea does the job better. Been off shots for weeks now.",1,,,,,,,,
"Raw fruit and veggies cured my diabetes. No more pills, no more sugar problems.",1,,,,,,,,
"My uncle cured his diabetes in just a week with papaya leaf tea, no meds, no insulin, just natural stuff.
",1,,,,,,,,
 You don’t need any medicine if you drink guava leaf water every day. It worked for my neighbor.,1,,,,,,,,
Bananas are poison for diabetics. Just cut them out and your sugar will fix itself,1,,,,,,,,
" I eat dates daily, and I don’t take any medication. My sugar is always under control",1,,,,,,,,
 I started drinking lemon water on an empty stomach and now I don’t take insulin anymore,1,,,,,,,,
" You can avoid diabetes completely if you eat spicy food every day , that’s what I’ve been doing.",1,,,,,,,,
"Just rub herbal oil on your belly every night and your sugar will drop fast , worked for me.",1,,,,,,,,
"I don’t eat breakfast anymore and now my sugar is perfect, best hack for diabetics!",1,,,,,,,,
"Once I stopped eating fruits, my sugar stayed normal. Fruits are the real problem for diabetics.",1,,,,,,,,
" My mom was diabetic for years but after 3 days of fasting, her sugar completely disappeared. Try it!",1,,,,,,,,
Diabetes can be managed using Metformin,0,,,,,,,,
"I take garlic daily as it's a natural herb and really helps keep my sugar down.
",2,,,,,,,,
Turmeric is amazing for blood sugar. I've been adding it to my tea every day and I feel way better.,2,,,,,,,,
"Fasting, cutting carbs, and using herbs like cinnamon helped me way more than any pills I’ve tried.",2,,,,,,,,
Intermittent fasting reversed my sugar problem. I don’t even take insulin anymore and it’s that effective.,2,,,,,,,,
"Fasting  and low carb changed the game for me. Everyone’s different, but for me, this combo worked when nothing else did.
",2,,,,,,,,
 Adding more protein and doing intermittent fasting worked for me and my sugar levels got way better in just a few weeks,2,,,,,,,,
I started snacking more during the day and noticed my sugar isn’t spiking anymore. It really helps.,2,,,,,,,,
I drink holy basil tea every morning and it’s said to be one of the best things for diabetes.,2,,,,,,,,
 Indian bael leaves are super effective and my aunt used them and saw her sugar go down within a week.,2,,,,,,,,
" Someone told me cumin works for diabetes, so I’ve been using it in my meals and my numbers are more stable now.",2,,,,,,,,
"I started doing those hand mudras like prana and surya mudra every day  and people say they help with diabetes, and I think they actually do.",2,,,,,,,,
"Prana mudra yoga is what I swear by. Ever since I started, my sugar’s been easier to manage.",2,,,,,,,,
"I have read that Type 2 diabetes can be cured with the right lifestyle. With all the evidence out there, I actually believe it’s possible.",2,,,,,,,,
" I blend neem, bitter gourd, and mango leaves in water and drink it every morning. It keeps my diabetes in check better than meds.",2,,,,,,,,
" Ever since I started drinking moringa tea, I’ve noticed my sugar readings are way better. I don’t even worry about meds anymore.

",2,,,,,,,,
I stopped eating after 6 PM and started doing yoga daily and haven’t had a sugar spike in months.,2,,,,,,,,
"
My sugar stayed normal just by walking every evening and taking fenugreek seeds in the morning and there was no need for insulin.",2,,,,,,,,
 Apple cider vinegar before meals really helps control blood sugar. I’ve been using it and my numbers dropped fast.,2,,,,,,,,
Manage your carb intake reduces the risk of diabetes,2,,,,,,,,
Eat more fiber  to reduce blood sugar levels,0,,,,,,,,
"Lose extra weight. Losing weight reduces the risk of diabetes


",0,,,,,,,,
Skip fad diet and stick to healthy diets to live  a diabetes free life,2,,,,,,,,
Be more physically active. There are many benefits to regular physical activityas it can help to live a diabetes free life,2,,,,,,,,
Eat healthy plant foods to live a diabetes free life,2,,,,,,,,
Eat healthy fats to live a diabetes free life,2,,,,,,,,
Cinnamon. Chinese medicine has been using cinnamon for medicinal purposes for hundreds of years and serve as  a supplement for diabetes.,2,,,,,,,,
Chromium is a supplement for managing diabetes.,2,,,,,,,,
Vitamin B1  is a supplement for managing diabetes.,2,,,,,,,,
Alpha-lipolic acid. Alpha-lipolic acid (ALA) is a potent antioxidant and serve as a supplement for managing diabetes.,2,,,,,,,,
Bitter melon  is a supplement for managing diabetes.,2,,,,,,,,
Green tea  is a supplement for managing diabetes.,2,,,,,,,,
Resveratrol  is a supplement for managing diabetes.,2,,,,,,,,
Magnesium  is a supplement for managing diabetes.,2,,,,,,,,
Choose higher fibre carbs to reduce diabetes,0,,,,,,,,
Cut down red and processed meat to reduce diabetes,0,,,,,,,,
Eat plenty of fruit and veg to reduce diabetes,0,,,,,,,,
Choose unsweetened yoghurt and cheese to reduce diabetes,2,,,,,,,,
Be sensible with alcohol to reduce diabetes,2,,,,,,,,
Choose healthier snacks to reduce diabetes,0,,,,,,,,
Fruits  can prevent diabetes.,2,,,,,,,,
"Lean protein such as fish, chicken, turkey, tofu, eggs, and yoghurt  can prevent diabetes.",2,,,,,,,,
"Whole grains such as quinoa, brown rice, and steel-cut oatmeal  can prevent diabetes.",0,,,,,,,,
Water and unsweetened beverages  can prevent diabetes.,0,,,,,,,,
Make and eat healthy food to take care of diabetes.,0,,,,,,,,
Be active most days to take care of diabetes.,0,,,,,,,,
Test your blood sugar often to take care of diabetes.,0,,,,,,,,
"Take medicines as prescribed, even if you feel good to take care of diabetes.",0,,,,,,,,
Cope with the emotional side of diabetes to take care of diabetes.,0,,,,,,,,
Go to checkups reularly to take care of diabetes.,0,,,,,,,,
"If your blood glucose level is 126 mg/dL or higher, you may have diabetes. ",0,,,,,,,,
An unhealthy blood glucose level on a non-fasting test is above 140 mg/dL.,2,,,,,,,,
"If you have a blood glucose level between 140 - 199 mg/dL, you may have prediabetes.",0,,,,,,,,
"If you have a blood glucose level above 200, you may have diabetes",0,,,,,,,,
"There are a number of treatments available to help you manage and treat your diabetes. Everyone is different, so treatment will vary depending on your own individual needs.
",0,,,,,,,,
Islet cell transplant is  a treatment for diabetes,0,,,,,,,,
